@relation feature0720

@attribute edge-mean numeric
@attribute edge-std numeric
@attribute grey-1 numeric
@attribute grey-2 numeric
@attribute grey-3 numeric
@attribute grey-4 numeric
@attribute grey-5 numeric
@attribute grey-6 numeric
@attribute grey-7 numeric
@attribute grey-8 numeric
@attribute grey-9 numeric
@attribute grey-10 numeric
@attribute grey-11 numeric
@attribute grey-12 numeric
@attribute grey-13 numeric
@attribute grey-14 numeric
@attribute grey-15 numeric
@attribute grey-16 numeric
@attribute grey-17 numeric
@attribute grey-18 numeric
@attribute grey-19 numeric
@attribute grey-20 numeric
@attribute red-1 numeric
@attribute red-2 numeric
@attribute red-3 numeric
@attribute red-4 numeric
@attribute red-5 numeric
@attribute red-6 numeric
@attribute red-7 numeric
@attribute red-8 numeric
@attribute red-9 numeric
@attribute red-10 numeric
@attribute red-11 numeric
@attribute red-12 numeric
@attribute red-13 numeric
@attribute red-14 numeric
@attribute red-15 numeric
@attribute red-16 numeric
@attribute red-17 numeric
@attribute red-18 numeric
@attribute red-19 numeric
@attribute red-20 numeric
@attribute green-1 numeric
@attribute green-2 numeric
@attribute green-3 numeric
@attribute green-4 numeric
@attribute green-5 numeric
@attribute green-6 numeric
@attribute green-7 numeric
@attribute green-8 numeric
@attribute green-9 numeric
@attribute green-10 numeric
@attribute green-11 numeric
@attribute green-12 numeric
@attribute green-13 numeric
@attribute green-14 numeric
@attribute green-15 numeric
@attribute green-16 numeric
@attribute green-17 numeric
@attribute green-18 numeric
@attribute green-19 numeric
@attribute green-20 numeric
@attribute blue-1 numeric
@attribute blue2 numeric
@attribute blue-3 numeric
@attribute blue-4 numeric
@attribute blue-5 numeric
@attribute blue-6 numeric
@attribute blue-7 numeric
@attribute blue-8 numeric
@attribute blue-9 numeric
@attribute blue-10 numeric
@attribute blue-11 numeric
@attribute blue-12 numeric
@attribute blue-13 numeric
@attribute blue-14 numeric
@attribute blue-15 numeric
@attribute blue-16 numeric
@attribute blue-17 numeric
@attribute blue-18 numeric
@attribute blue-19 numeric
@attribute blue-20 numeric
@attribute sharpness numeric
@attribute contrast numeric
@attribute hue-complex numeric
@attribute max-hue-value string
@attribute max-hue numeric
@attribute max-hue-std string
@attribute saturation-std numeric
@attribute saturation-mean numeric
@attribute class {vividly,mighty,elegant,tshing-iu,bleak,unclassified}

@data
0.141437,0.046788,0.000094,0.001311,0.004801,0.007895,0.012465,0.018769,0.02601,0.033476,0.045678,0.068003,0.060888,0.061622,0.096052,0.288752,0.188346,0.017759,0.003591,0.003769,0.048941,0.011776,0.000042,0.000811,0.003818,0.006084,0.011059,0.015962,0.020143,0.022997,0.026976,0.029255,0.0325,0.032703,0.038619,0.043787,0.049913,0.075836,0.162997,0.348311,0.015829,0.06236,0.000122,0.001413,0.005231,0.007528,0.013014,0.019248,0.026829,0.032657,0.050503,0.076983,0.066962,0.071451,0.121944,0.362794,0.064913,0.011059,0.003021,0.004038,0.048402,0.011888,0.00057,0.0055,0.014531,0.025818,0.059066,0.12422,0.1205,0.238227,0.30401,0.017423,0.015465,0.006255,0.002664,0.002692,0.029913,0.020591,0.001594,0.004689,0.006266,0.000003,0.932381,254,2,0.272640227,25,0,0.023103,0.488121,vividly
0.088201,0.033581,0.000228,0.001979,0.009072,0.016672,0.022412,0.022971,0.021557,0.021896,0.019291,0.016921,0.016794,0.016514,0.015742,0.016189,0.0189,0.0225,0.028903,0.071816,0.485651,0.153989,0.000064,0.001217,0.006705,0.011518,0.017786,0.021751,0.019513,0.017196,0.020444,0.019801,0.017897,0.015878,0.016959,0.016369,0.017035,0.01914,0.024826,0.036771,0.163506,0.535623,0.000277,0.00211,0.010311,0.01678,0.023597,0.023373,0.02281,0.02003,0.018806,0.017226,0.017068,0.015391,0.016037,0.016721,0.019994,0.021525,0.029726,0.086158,0.541231,0.080828,0.000862,0.005105,0.015421,0.022811,0.028974,0.026902,0.021938,0.018243,0.018321,0.017161,0.016561,0.014618,0.016216,0.018745,0.021034,0.022816,0.042392,0.309806,0.358705,0.003368,0.969944,237,2,0.19076427,21,0.979795897,0.01529,0.107202,vividly
0.079734,0.027814,0.000001,0.000417,0.006831,0.006922,0.004416,0.004433,0.008532,0.018288,0.036161,0.047786,0.054178,0.050377,0.036091,0.030578,0.029024,0.023221,0.283347,0.359357,0.000043,0,0,0.000033,0.003911,0.007053,0.004826,0.003593,0.004116,0.008068,0.018676,0.03177,0.037689,0.035275,0.04281,0.045216,0.03564,0.035137,0.034912,0.451709,0.199544,0.000024,0.000005,0.00072,0.007538,0.006368,0.004617,0.005683,0.011403,0.021539,0.038887,0.051091,0.057233,0.042525,0.034465,0.031497,0.02545,0.023922,0.395039,0.242005,0.000014,0,0.000042,0.001499,0.008279,0.008508,0.009337,0.014283,0.034402,0.055497,0.054747,0.042567,0.037326,0.029875,0.026598,0.020725,0.031131,0.273983,0.351008,0.00019,0,0,0.930364,237,2,0.141777402,20,0.979795897,0.036581,0.160532,vividly
0.08552,0.029216,0.000715,0.00167,0.00175,0.002055,0.00369,0.016205,0.016575,0.01072,0.01214,0.01467,0.02012,0.02734,0.028845,0.02625,0.02385,0.02318,0.052095,0.41164,0.306425,0.000065,0.001,0.0016,0.001725,0.00211,0.003005,0.00382,0.004475,0.005905,0.0092,0.01496,0.022975,0.022795,0.024315,0.02295,0.027835,0.02869,0.029165,0.04414,0.35812,0.371215,0.00058,0.00163,0.00556,0.018565,0.009495,0.007335,0.00725,0.006905,0.009665,0.01257,0.017905,0.02339,0.02864,0.029025,0.026705,0.024775,0.062815,0.463725,0.243405,0.00006,0.001975,0.00206,0.00257,0.006255,0.02187,0.01583,0.014695,0.01566,0.021455,0.027425,0.03191,0.026135,0.0235,0.025955,0.13332,0.55169,0.077455,0.000235,0.000005,0,0.901675,233,6,0.148289275,28,0,0.025893,0.212635,vividly
0.057972,0.016001,0.000281,0.028898,0.035579,0.023439,0.025846,0.026856,0.026344,0.018526,0.015151,0.010512,0.009418,0.008309,0.008863,0.010611,0.015088,0.034035,0.492618,0.209305,0.000281,0.000042,0.000014,0.003256,0.041993,0.027326,0.026884,0.023818,0.029586,0.022554,0.016744,0.012877,0.010042,0.008246,0.008365,0.008863,0.011347,0.014021,0.040821,0.4788,0.214379,0.000063,0.001193,0.03694,0.030456,0.023039,0.025179,0.027775,0.025867,0.016526,0.014772,0.010519,0.009642,0.007649,0.009011,0.010926,0.015916,0.034147,0.55847,0.141656,0.000281,0.000035,0.000337,0.028547,0.039867,0.026835,0.026737,0.033867,0.025691,0.017123,0.013158,0.010947,0.009796,0.009354,0.01447,0.030344,0.550049,0.161909,0.000568,0.000189,0.000175,0.000035,0.758077,236,4,0.224863174,251,121.4946912,0.004133,0.176784,vividly
0.103251,0.016637,0,0,0,0,0.000048,0.000645,0.002327,0.006677,0.014789,0.028398,0.050096,0.06208,0.076622,0.093857,0.113347,0.127219,0.119793,0.083825,0.096645,0.123633,0,0,0,0,0.000279,0.002534,0.007482,0.013418,0.023665,0.036645,0.060072,0.076542,0.098685,0.11047,0.119865,0.088311,0.072151,0.082661,0.09843,0.108789,0,0,0,0,0.000096,0.001371,0.00498,0.011586,0.023753,0.030351,0.034478,0.042534,0.061697,0.082765,0.107315,0.114159,0.137442,0.10957,0.105928,0.131976,0,0,0,0,0.000032,0.001219,0.008829,0.028645,0.023386,0.025809,0.037657,0.052614,0.084837,0.117737,0.144279,0.120606,0.079187,0.069203,0.125084,0.080876,0.753896,249,5,0.078750514,6,49.4060725,0.043441,0.126439,vividly
0.225168,0.027066,0.000127,0.003568,0.018987,0.031956,0.047603,0.051593,0.049286,0.049447,0.051286,0.058646,0.067999,0.078979,0.098392,0.137019,0.166294,0.075366,0.012876,0.000572,0.000004,0,0.000007,0.000516,0.008175,0.014073,0.023452,0.033897,0.042809,0.042726,0.044619,0.04457,0.045692,0.045632,0.055572,0.063728,0.078586,0.111152,0.195972,0.12681,0.0212,0.000812,0.000266,0.005931,0.022868,0.036466,0.052341,0.052408,0.050778,0.047487,0.055236,0.062719,0.072696,0.076619,0.106148,0.144682,0.151507,0.051279,0.010209,0.000355,0.000004,0,0.000729,0.015097,0.049028,0.074903,0.08313,0.082693,0.096006,0.109907,0.147083,0.170449,0.132618,0.034682,0.003605,0.000071,0,0,0,0,0,0,0.964854,253,2,0.120968901,25,0.979795897,0.016021,0.43548,vividly
0.083571,0.029932,0,0.000032,0.002577,0.0148,0.022292,0.029312,0.038141,0.046602,0.057135,0.116306,0.294137,0.112346,0.008595,0.000764,0.000551,0.000609,0.000573,0.000699,0.001009,0.253521,0,0.000007,0.000836,0.007232,0.012137,0.015431,0.019348,0.023175,0.031297,0.034461,0.038559,0.048461,0.237373,0.204883,0.067499,0.002786,0.000735,0.00076,0.000926,0.254094,0,0.000068,0.003658,0.016205,0.025953,0.034277,0.042897,0.049499,0.060357,0.170375,0.261568,0.07151,0.006029,0.000695,0.000591,0.000566,0.000544,0.000753,0.000998,0.253456,0.000007,0.000414,0.012389,0.049286,0.173359,0.481503,0.022987,0.001283,0.000569,0.000551,0.000447,0.000432,0.000386,0.000447,0.00045,0.000425,0.000566,0.000688,0.000944,0.252865,0.777632,246,2,0.215208112,26,0.489897949,0.056779,0.412076,vividly
0.014769,0.009244,0.001699,0.003047,0.006134,0.003692,0.002123,0.001653,0.001503,0.001347,0.001372,0.001265,0.001267,0.001298,0.001456,0.002183,0.01388,0.221387,0.568836,0.164017,0.001782,0.00006,0.001685,0.003472,0.0058,0.003192,0.002112,0.001528,0.00143,0.001195,0.001272,0.001177,0.001184,0.001105,0.001233,0.001541,0.002086,0.007082,0.129898,0.565828,0.263994,0.003188,0.001617,0.002746,0.006437,0.003595,0.002301,0.001732,0.001581,0.001279,0.001413,0.001283,0.001286,0.001229,0.001541,0.002492,0.023911,0.258721,0.553805,0.131617,0.001361,0.000054,0.002445,0.005109,0.005475,0.002777,0.002022,0.00179,0.001614,0.001401,0.001491,0.001426,0.001613,0.002254,0.017878,0.398023,0.529983,0.023984,0.000664,0.000051,0,0,0.920894,119,2,0.247659633,26,0.489897949,0.002302,0.202315,vividly
0.125942,0.036751,0.000014,0.000161,0.001675,0.060965,0.145972,0.110666,0.075593,0.047056,0.034996,0.030357,0.027514,0.02937,0.033052,0.035844,0.039496,0.043269,0.042025,0.05294,0.178002,0.011035,0.000002,0.000067,0.000654,0.016458,0.131765,0.117578,0.086042,0.05733,0.038934,0.032412,0.029567,0.026274,0.031367,0.033882,0.035477,0.034204,0.041693,0.042791,0.079351,0.164151,0.000017,0.0002,0.002146,0.061971,0.152826,0.111811,0.075351,0.042446,0.035394,0.030705,0.028207,0.028422,0.033983,0.036626,0.041186,0.040689,0.041612,0.059486,0.16954,0.007381,0.000077,0.000669,0.008877,0.121537,0.14847,0.098763,0.058424,0.035813,0.032639,0.02894,0.029921,0.029412,0.034091,0.040803,0.047615,0.042839,0.07637,0.156661,0.007301,0.00078,0.98665,249,1,0.149324758,18,2.449489743,0.013388,0.155454,vividly
