@relation 'feature0811 - 158 features-weka.filters.unsupervised.attribute.Remove-R1,160-163,165-166'

@attribute edge-mean numeric
@attribute edge-std numeric
@attribute grey-1 numeric
@attribute grey-2 numeric
@attribute grey-3 numeric
@attribute grey-4 numeric
@attribute grey-5 numeric
@attribute grey-6 numeric
@attribute grey-7 numeric
@attribute grey-8 numeric
@attribute grey-9 numeric
@attribute grey-10 numeric
@attribute grey-11 numeric
@attribute grey-12 numeric
@attribute grey-13 numeric
@attribute grey-14 numeric
@attribute grey-15 numeric
@attribute grey-16 numeric
@attribute grey-17 numeric
@attribute grey-18 numeric
@attribute grey-19 numeric
@attribute grey-20 numeric
@attribute red-1 numeric
@attribute red-2 numeric
@attribute red-3 numeric
@attribute red-4 numeric
@attribute red-5 numeric
@attribute red-6 numeric
@attribute red-7 numeric
@attribute red-8 numeric
@attribute red-9 numeric
@attribute red-10 numeric
@attribute red-11 numeric
@attribute red-12 numeric
@attribute red-13 numeric
@attribute red-14 numeric
@attribute red-15 numeric
@attribute red-16 numeric
@attribute red-17 numeric
@attribute red-18 numeric
@attribute red-19 numeric
@attribute red-20 numeric
@attribute green-1 numeric
@attribute green-2 numeric
@attribute green-3 numeric
@attribute green-4 numeric
@attribute green-5 numeric
@attribute green-6 numeric
@attribute green-7 numeric
@attribute green-8 numeric
@attribute green-9 numeric
@attribute green-10 numeric
@attribute green-11 numeric
@attribute green-12 numeric
@attribute green-13 numeric
@attribute green-14 numeric
@attribute green-15 numeric
@attribute green-16 numeric
@attribute green-17 numeric
@attribute green-18 numeric
@attribute green-19 numeric
@attribute green-20 numeric
@attribute blue-1 numeric
@attribute blue2 numeric
@attribute blue-3 numeric
@attribute blue-4 numeric
@attribute blue-5 numeric
@attribute blue-6 numeric
@attribute blue-7 numeric
@attribute blue-8 numeric
@attribute blue-9 numeric
@attribute blue-10 numeric
@attribute blue-11 numeric
@attribute blue-12 numeric
@attribute blue-13 numeric
@attribute blue-14 numeric
@attribute blue-15 numeric
@attribute blue-16 numeric
@attribute blue-17 numeric
@attribute blue-18 numeric
@attribute blue-19 numeric
@attribute blue-20 numeric
@attribute sharpness numeric
@attribute contrast numeric
@attribute hue-complex numeric
@attribute max-hue-value numeric
@attribute max-hue numeric
@attribute max-hue-std numeric
@attribute saturation-std numeric
@attribute saturation-mean numeric
@attribute max-salincy-x numeric
@attribute max-saliency-y numeric
@attribute saliency-mean1 numeric
@attribute saliency-mean2 numeric
@attribute saliency-std1 numeric
@attribute saliency-std2 numeric
@attribute mean-r numeric
@attribute mean-g numeric
@attribute mean-b numeric
@attribute std-r numeric
@attribute std-g numeric
@attribute std-b numeric
@attribute skew-r numeric
@attribute skew-g numeric
@attribute skew-b numeric
@attribute mean-light numeric
@attribute std-light numeric
@attribute ro3-h numeric
@attribute ro3-s numeric
@attribute ro3-v numeric
@attribute size-1 numeric
@attribute size-2 numeric
@attribute ratio numeric
@attribute greycghg-1 numeric
@attribute greycghg-2 numeric
@attribute greycghg-3 numeric
@attribute greycghg-4 numeric
@attribute greycghg-5 numeric
@attribute greycgcl-1 numeric
@attribute greycgcl-2 numeric
@attribute greycgcl-3 numeric
@attribute greycgcl-4 numeric
@attribute greycgcl-5 numeric
@attribute greycgeg-1 numeric
@attribute greycgeg-2 numeric
@attribute greycgeg-3 numeric
@attribute greycgeg-4 numeric
@attribute greycgeg-5 numeric
@attribute greycgasm-1 numeric
@attribute greycgasm-2 numeric
@attribute greycgasm-3 numeric
@attribute greycgasm-4 numeric
@attribute greycgasm-5 numeric
@attribute greycgctt-1 numeric
@attribute greycgctt-2 numeric
@attribute greycgctt-3 numeric
@attribute greycgctt-4 numeric
@attribute greycgctt-5 numeric
@attribute mean-lbp numeric
@attribute std-lbp numeric
@attribute mean-plm numeric
@attribute mean(ste[0]) numeric
@attribute std(ste[0]) numeric
@attribute mean(ste[1]) numeric
@attribute std(ste[1]) numeric
@attribute mean(hmd) numeric
@attribute std(hmd) numeric
@attribute mean(si) numeric
@attribute std(si) numeric
@attribute 'mean(cps[:,0])' numeric
@attribute 'std(cps[:,0])' numeric
@attribute 'mean(cps[:,1])' numeric
@attribute 'std(cps[:,1])' numeric
@attribute 'mean(corners[:,0])' numeric
@attribute 'std(corners[:,0])' numeric
@attribute 'mean(corners[:,1])' numeric
@attribute 'std(corners[:,1])' numeric
@attribute mean_corner numeric
@attribute class-num numeric

@data
0.088696,0.037808,0.003467,0.009803,0.009754,0.019771,0.034495,0.0452,0.054993,0.083493,0.157625,0.219945,0.183007,0.082658,0.046181,0.022112,0.008968,0.004746,0.003587,0.004541,0.003139,0.002516,0.022081,0.027674,0.062826,0.069318,0.081502,0.128932,0.150847,0.129831,0.138673,0.079811,0.040475,0.020412,0.011496,0.007225,0.005326,0.003893,0.004452,0.004265,0.003657,0.007302,0.001942,0.007606,0.008695,0.009643,0.026687,0.029997,0.041493,0.045031,0.07389,0.140775,0.21672,0.196418,0.100276,0.052063,0.023048,0.008763,0.004848,0.004532,0.004461,0.003114,0.004682,0.014334,0.026417,0.06039,0.194556,0.42184,0.2313,0.023959,0.003584,0.001654,0.001776,0.001598,0.002016,0.00243,0.002586,0.00231,0.001976,0.001169,0.000881,0.000543,0.943436,251,7,0.028812,69,16.119553,0.037409,0.511356,0.3125,0.974359,0.0281,0.052885,0.170738,0.223893,86.756293,129.838957,69.690662,40.628088,34.847904,21.342728,38.317296,-27.578096,29.779944,0.511732,0.140965,3.047108,3.047108,3.047108,628,519,1.210019,0.027157,0.022185,0.024952,0.022717,0.027157,0.000002,0,0,0,0.000002,0.004092,0.003722,0.00391,0.003739,0.004092,9.87686,8.169766,9.018897,8.246691,9.87686,3097.764938,3474.041907,3231.665992,3434.341242,3097.764938,126.975167,103.460323,0.093547,0.103243,0.349969,0.022856,0.068863,-0.000039,0.000421,0.01011,0.504652,254.965033,147.362788,311.55082,179.250785,435.366279,121.371952,328.752907,216.161896,0.003166,0
0.292991,0.009102,0.000014,0.000476,0.009883,0.072264,0.140283,0.154258,0.127643,0.105011,0.086276,0.071059,0.059915,0.048724,0.038855,0.029436,0.020735,0.013828,0.00932,0.007158,0.003736,0.001127,0.000005,0.000122,0.00278,0.029858,0.08998,0.128882,0.132279,0.106021,0.098205,0.082709,0.069481,0.055666,0.05112,0.043693,0.035748,0.025563,0.020111,0.012906,0.009134,0.005738,0.000027,0.000655,0.014141,0.078404,0.153006,0.157629,0.128251,0.097153,0.085427,0.070132,0.058083,0.042814,0.036912,0.027267,0.018812,0.011749,0.008779,0.006781,0.003105,0.000873,0.000149,0.003071,0.040163,0.131393,0.187724,0.157718,0.123568,0.089682,0.07605,0.058674,0.04403,0.029337,0.021669,0.013872,0.00929,0.00665,0.004293,0.001988,0.000624,0.000056,0.991862,251,2,0.125842,15,1.469694,0.011285,0.261743,0.830769,0.48,0.019703,0.048308,0.13277,0.214449,112.761209,96.05426,83.623142,46.254465,41.79288,37.083261,41.809962,40.818661,37.762945,0.442229,0.18136,0.752518,0.752518,0.752518,800,1048,0.763359,0.032921,0.028102,0.035299,0.029405,0.032921,0,0.000002,0,0.000002,0,0.007002,0.006686,0.007214,0.006764,0.007002,28.918596,26.36409,30.692698,26.986116,28.918596,13127.67723,13802.84043,12723.61673,13562.08928,13127.67723,129.51887,98.773529,0.069385,0.428275,0.452505,0.104296,0.11263,-0.000244,0.000861,-0.027367,0.505348,531.308929,307.872169,405.061215,230.147814,508.140289,300.962065,385.169073,213.799177,0.027266,0
0.069958,0.02909,0.000005,0.000466,0.004799,0.016136,0.02924,0.036611,0.039359,0.050896,0.04861,0.047118,0.063309,0.067603,0.129646,0.277183,0.171551,0.017379,0.000091,0,0,0,0,0.000184,0.003326,0.009627,0.024223,0.032188,0.036861,0.039095,0.045469,0.042299,0.043207,0.053242,0.060809,0.089205,0.243179,0.220522,0.055457,0.001108,0,0,0.000007,0.000597,0.005382,0.015679,0.030905,0.037024,0.040991,0.048456,0.050476,0.050578,0.066667,0.065289,0.15017,0.289258,0.139016,0.009471,0.000033,0,0,0,0.000035,0.001544,0.009564,0.027656,0.041884,0.050767,0.06445,0.055919,0.074762,0.098862,0.209051,0.269818,0.091168,0.004452,0.000068,0,0,0,0,0,0.710772,254,2,0.295979,26,0.979796,0.006924,0.240305,0.333333,0.4,0.040282,0.08,0.213121,0.271375,160.082115,144.523209,121.062092,43.81919,39.24922,32.259749,-44.315213,-39.604332,-32.050105,0.627773,0.171839,0.907747,0.907747,0.907747,800,536,1.492537,0.066854,0.049423,0.06543,0.050021,0.066854,0,0.000002,0,0.000002,0,0.009974,0.008072,0.009869,0.008168,0.009974,58.672926,38.43525,57.447005,39.35192,58.672926,4589.321138,5707.603811,4712.17553,5585.617476,4589.321138,129.685359,97.589711,0.073864,0.090468,0.308389,0.009583,0.025959,-0.000025,0.000126,0.020031,0.506597,266.98648,154.164686,407.031894,230.491054,252.443843,128.864608,329.683356,190.855839,0.001723,0
0.108889,0.012167,0,0.000366,0.006495,0.033096,0.061927,0.071421,0.064712,0.071106,0.091911,0.160695,0.293849,0.137511,0.006733,0.000178,0,0,0,0,0,0,0.000004,0.000348,0.003429,0.012469,0.029377,0.047646,0.056735,0.0485,0.051988,0.059939,0.077223,0.113537,0.264953,0.21518,0.018478,0.000195,0,0,0,0,0,0.000393,0.008087,0.038682,0.070094,0.074941,0.068925,0.073952,0.106178,0.215151,0.274899,0.066147,0.002513,0.00004,0,0,0,0,0,0,0.000032,0.001974,0.035025,0.090441,0.110953,0.133782,0.265335,0.310483,0.049568,0.001898,0.000499,0.000009,0,0,0,0,0,0,0,0,0.808242,245,1,0.193728,23,0.4,0.004459,0.424883,0.395349,1,0.028963,0.047907,0.184193,0.213619,137.447154,108.468285,78.230949,35.938499,29.4312,19.462599,-35.652386,-27.205285,-17.42369,0.539024,0.140888,0.74004,0.74004,0.74004,800,694,1.152738,0.064874,0.050053,0.067989,0.051894,0.064874,0,0,0,0.000002,0,0.01062,0.008915,0.010877,0.009059,0.01062,66.522769,46.876311,69.777985,48.403773,66.522769,2410.599604,2995.870319,2401.048063,2803.424057,2410.599604,128.864595,97.441624,0.07239,0.081344,0.185067,0.012047,0.022297,-0.000028,0.000108,0.014641,0.506886,347.311262,200.509268,406.138775,230.50497,410.350727,162.564916,405.571429,214.705265,0.002106,0
0.237663,0.053147,0.070465,0.023579,0.020655,0.0188,0.0198,0.019643,0.01913,0.017374,0.019006,0.019068,0.020079,0.021347,0.021564,0.026496,0.036008,0.058707,0.14045,0.317624,0.100153,0.010054,0.070465,0.023579,0.020655,0.0188,0.0198,0.019643,0.01913,0.017374,0.019006,0.019068,0.020079,0.019589,0.023322,0.026496,0.036008,0.058707,0.14045,0.317624,0.100153,0.010054,0.070465,0.023579,0.020655,0.0188,0.0198,0.019643,0.01913,0.017374,0.019006,0.019068,0.020079,0.019589,0.023322,0.026496,0.036008,0.058707,0.14045,0.317624,0.100153,0.010054,0.070465,0.023579,0.020655,0.0188,0.0198,0.019643,0.01913,0.017374,0.019006,0.019068,0.020079,0.019589,0.023322,0.026496,0.036008,0.058707,0.14045,0.317624,0.100153,0.010054,0.995653,248,0,0,0,0,0,0,0.648649,0.4,0.047376,0.083784,0.215522,0.277138,170.937593,170.937593,170.937593,75.554919,75.554919,75.554919,-79.41095,-79.41095,-79.41095,0.670344,0.296294,0,0,0,800,605,1.322314,0.046748,0.038711,0.047335,0.039111,0.046748,0,0.000002,0,0.000002,0,0.018324,0.016704,0.018477,0.016951,0.018324,198.035321,164.578973,201.36655,169.471015,198.035321,4237.200046,4651.066198,4338.781314,4586.998586,4237.200046,126.489262,100.958577,0.09895,1.789409,1.704389,0.466271,0.536792,-0.001147,0.003627,0.061911,0.506763,302.485683,175.212874,394.601136,230.432117,323.181532,160.289664,403.413609,229.463331,0.038014,0
0.111705,0.025206,0.002979,0.014935,0.028819,0.062131,0.08392,0.063405,0.043701,0.035406,0.029456,0.025146,0.027269,0.04261,0.089282,0.148019,0.200597,0.098811,0.003458,0.000053,0.000004,0,0.002354,0.012723,0.022634,0.042431,0.073665,0.066234,0.046924,0.033263,0.030041,0.025211,0.021648,0.017752,0.022443,0.043348,0.108044,0.171546,0.211546,0.047869,0.000317,0.000008,0.002967,0.015718,0.031729,0.061599,0.089156,0.062983,0.044436,0.032987,0.029886,0.026153,0.030568,0.047127,0.095885,0.154079,0.192597,0.078722,0.003348,0.000057,0.000004,0,0.005223,0.017971,0.039712,0.076169,0.093433,0.069903,0.059793,0.054919,0.071554,0.118194,0.210467,0.153214,0.027825,0.00153,0.000081,0.000012,0,0,0,0,0.933316,253,2,0.143469,29,2.712932,0.013091,0.289091,0.976744,0.363636,0.084676,0.141649,0.302354,0.348874,150.615832,131.428433,102.85931,63.63528,56.263086,39.401678,-54.078185,-45.106885,-31.477115,0.590723,0.249424,0.936763,0.936763,0.936763,352,700,0.502857,0.022653,0.018802,0.022285,0.018617,0.022653,0,0,0,0,0,0.003291,0.003029,0.003293,0.003034,0.003291,6.387824,5.412382,6.396939,5.429743,6.387824,3027.480252,3415.576219,3025.573886,3388.538096,3027.480252,127.965974,100.19068,0.080698,0.259926,0.531146,0.030526,0.067959,-0.000077,0.000449,0.024329,0.504717,350.26698,204.822868,175.03373,100.548704,371.921365,187.793738,182.071217,97.564075,0.008206,0
0.091523,0.027177,0.0244,0.033724,0.068386,0.056004,0.030058,0.019958,0.017209,0.015875,0.015746,0.01639,0.016278,0.016964,0.023541,0.039308,0.059718,0.049598,0.03727,0.155968,0.302181,0.001425,0.022235,0.031879,0.063089,0.054831,0.033879,0.022298,0.017728,0.014761,0.015839,0.017014,0.016618,0.015549,0.021143,0.033143,0.056324,0.04972,0.04064,0.065139,0.405233,0.002938,0.024473,0.033946,0.07034,0.053626,0.030917,0.02038,0.017129,0.014777,0.016161,0.01662,0.016634,0.015873,0.024101,0.040511,0.060954,0.046688,0.038008,0.159541,0.297986,0.001334,0.028054,0.037905,0.072262,0.049759,0.030062,0.019718,0.017632,0.015048,0.017171,0.016819,0.017575,0.018477,0.031736,0.056213,0.061408,0.03899,0.041221,0.340042,0.089724,0.000187,0.925187,244,3,0.118993,29,1.469694,0.015243,0.070951,0.16129,0.322581,0.087117,0.152445,0.295565,0.359546,168.270411,165.164217,159.822626,80.191845,79.864462,77.952324,-74.66826,-73.782927,-71.587592,0.659896,0.314481,0.966312,0.966312,0.966312,500,1006,0.497018,0.226747,0.176257,0.218272,0.177336,0.226747,0,0.000002,0.000002,0.000002,0,0.037315,0.030888,0.035682,0.031,0.037315,821.268168,562.747133,750.975026,566.830599,821.268168,2044.137082,2266.319831,1733.18761,2153.897558,2044.137082,141.492074,96.537955,0.160328,0.225437,0.623252,0.021321,0.075015,-0.000056,0.0004,0.018798,0.498266,499.680823,321.175822,233.353297,146.53297,454.671536,239.016393,293.433708,133.060778,0.005308,0
0.091799,0.042351,0,0,0,0.000018,0.000274,0.001927,0.006636,0.012932,0.029406,0.080116,0.130709,0.132457,0.152024,0.141224,0.091668,0.060877,0.073014,0.054761,0.031549,0.000408,0,0.000006,0.000149,0.002055,0.011903,0.025951,0.043081,0.041346,0.043002,0.069096,0.156508,0.172734,0.123318,0.085245,0.050749,0.057516,0.055257,0.042274,0.01944,0.000371,0,0,0,0.000006,0.000158,0.000989,0.004155,0.0087,0.019254,0.061209,0.119257,0.109994,0.138277,0.168259,0.123081,0.060977,0.081644,0.062268,0.041062,0.000709,0,0,0,0.00004,0.000514,0.003017,0.009011,0.01846,0.067464,0.140773,0.125985,0.109766,0.16242,0.119464,0.067903,0.066594,0.046435,0.049805,0.012213,0.000137,0.868846,251,3,0.132451,113,4.270831,0.050414,0.145295,0.512195,0.451613,0.024703,0.04406,0.172449,0.205309,150.110414,169.468143,155.874795,39.804583,33.068338,34.202799,-10.390877,15.276021,22.192219,0.666493,0.128751,3.433707,3.433707,3.433707,500,657,0.761035,0.054968,0.041999,0.054465,0.042244,0.054968,0,0,0,0,0,0.005733,0.004749,0.005698,0.004772,0.005733,19.38903,13.301805,19.152445,13.434224,19.38903,1859.316162,2223.572745,1891.165037,2211.523817,1859.316162,128.332116,99.305558,0.078925,0.097237,0.309091,0.007451,0.020053,-0.00003,0.000149,0.043151,0.502619,331.480187,187.499923,250.986447,143.199258,343.46875,108.3928,275.705357,124.926435,0.001364,0
0.057699,0.013121,0,0,0,0.000002,0.015334,0.056902,0.060929,0.043688,0.030523,0.02676,0.025336,0.027904,0.029908,0.034406,0.031852,0.027626,0.021916,0.019999,0.025629,0.521286,0,0,0,0,0.004232,0.029151,0.068717,0.047759,0.036655,0.031347,0.025538,0.023034,0.0286,0.036171,0.030612,0.024462,0.024222,0.025099,0.024719,0.539683,0,0,0,0.000002,0.015745,0.06289,0.062742,0.039645,0.031191,0.026523,0.025107,0.025185,0.028928,0.03335,0.033547,0.025847,0.022297,0.020751,0.027949,0.518298,0,0,0,0.001508,0.039137,0.0786,0.053815,0.035088,0.033144,0.030645,0.029729,0.030178,0.036155,0.030396,0.023732,0.017024,0.016034,0.016684,0.231311,0.296822,0.893139,248,2,0.189496,21,1.469694,0.019063,0.096819,0.91129,0.645161,0.33755,0.471124,0.53049,0.49923,201.0199,194.779914,185.271611,65.791586,68.105113,69.493089,-61.486537,-62.182055,-60.189373,0.788571,0.257895,0.936599,0.936599,0.936599,500,1991,0.25113,0.450995,0.357549,0.45494,0.340055,0.450995,0,0,0.000002,0,0,0.005746,0.096389,0.004188,0.094205,0.005746,19.475761,5479.953705,10.344608,5234.436052,19.475761,3369.521381,3995.885249,3267.733688,4129.333991,3369.521381,140.408157,95.234639,0.132524,0.164669,0.611785,0.011128,0.058306,-0.00004,0.000292,0.024548,0.503528,965.494278,604.339179,253.856818,146.789634,1029.00182,495.897217,231.982712,137.350311,0.002208,0
0.082884,0.014247,0.0035,0.003951,0.005246,0.007219,0.011429,0.04179,0.147018,0.312754,0.24958,0.118,0.045156,0.015929,0.001857,0.000263,0.000031,0.000107,0.000344,0.000107,0.000022,0.035696,0.000871,0.001214,0.001781,0.00275,0.003638,0.00467,0.006125,0.009817,0.025366,0.063379,0.136777,0.171125,0.262571,0.154665,0.085732,0.021402,0.007246,0.004679,0.000478,0.035714,0.005152,0.004862,0.006964,0.008272,0.031536,0.119549,0.32725,0.258598,0.126384,0.052125,0.019973,0.002549,0.000406,0.000098,0.000004,0.000161,0.000326,0.00008,0.000013,0.035696,0.016071,0.011955,0.026942,0.232357,0.554955,0.092513,0.023531,0.004277,0.000737,0.000143,0.000103,0.000098,0.00004,0.000031,0.00025,0.000263,0.000018,0.000018,0.000125,0.035571,0.604098,251,1,0.258751,14,0.489898,0.013149,0.628717,0.525,0.047619,0.042725,0.075,0.222925,0.263548,156.179161,94.978688,60.62317,31.566731,35.820324,38.960559,20.389384,51.372461,63.130487,0.612579,0.12412,0.594643,0.594643,0.594643,350,640,0.546875,0.104231,0.061065,0.085695,0.061848,0.104231,0.000002,0.000002,0,0.000002,0.000002,0.011372,0.007842,0.010252,0.007861,0.011372,76.277306,36.268617,61.991472,36.448552,76.277306,965.441037,1284.922368,1013.703172,1304.087175,965.441037,139.338518,96.176729,0.103893,0.234505,0.892886,0.007675,0.031865,-0.000026,0.00016,0.021961,0.500502,315.388495,181.735833,175.192762,104.557724,346.484594,145.742811,193.515406,86.645147,0.001594,0
